"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2026-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709621","14.8.1.1","6.6","","","","1"
"2026-02","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709621","14.8.1.1","6.5","","","","1"
"2025-10","Kingston, Ontario","2021S0503521","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709891","15.8.1.1","6.4","","","","1"
"2025-11","Kingston, Ontario","2021S0503521","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709891","15.8.1.1","5.3","","","","1"
"2025-12","Kingston, Ontario","2021S0503521","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709891","15.8.1.1","5.6","","","","1"
"2026-01","Kingston, Ontario","2021S0503521","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709891","15.8.1.1","5.5","","","","1"
"2026-02","Kingston, Ontario","2021S0503521","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709891","15.8.1.1","5.6","","","","1"
"2025-10","Belleville - Quinte West, Ontario","2021S0503522","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710161","16.8.1.1","8.8","","","","1"
"2025-11","Belleville - Quinte West, Ontario","2021S0503522","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710161","16.8.1.1","8.8","","","","1"
"2025-12","Belleville - Quinte West, Ontario","2021S0503522","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710161","16.8.1.1","10.6","","","","1"
"2026-01","Belleville - Quinte West, Ontario","2021S0503522","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710161","16.8.1.1","10.0","","","","1"
"2026-02","Belleville - Quinte West, Ontario","2021S0503522","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710161","16.8.1.1","9.9","","","","1"
"2025-10","Peterborough, Ontario","2021S0503529","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710431","17.8.1.1","5.1","","","","1"
"2025-11","Peterborough, Ontario","2021S0503529","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710431","17.8.1.1","4.6","","","","1"
"2025-12","Peterborough, Ontario","2021S0503529","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710431","17.8.1.1","5.3","","","","1"
"2026-01","Peterborough, Ontario","2021S0503529","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710431","17.8.1.1","6.3","","","","1"
"2026-02","Peterborough, Ontario","2021S0503529","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710431","17.8.1.1","6.7","","","","1"
"2025-10","Oshawa, Ontario","2021S0503532","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710701","18.8.1.1","9.2","","","","1"
"2025-11","Oshawa, Ontario","2021S0503532","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710701","18.8.1.1","8.5","","","","1"
"2025-12","Oshawa, Ontario","2021S0503532","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710701","18.8.1.1","8.0","","","","1"
"2026-01","Oshawa, Ontario","2021S0503532","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710701","18.8.1.1","7.2","","","","1"
"2026-02","Oshawa, Ontario","2021S0503532","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710701","18.8.1.1","7.4","","","","1"
"2025-10","Toronto, Ontario","2021S0503535","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710971","19.8.1.1","8.8","","","","1"
"2025-11","Toronto, Ontario","2021S0503535","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710971","19.8.1.1","7.9","","","","1"
"2025-12","Toronto, Ontario","2021S0503535","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710971","19.8.1.1","7.5","","","","1"
"2026-01","Toronto, Ontario","2021S0503535","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710971","19.8.1.1","7.4","","","","1"
"2026-02","Toronto, Ontario","2021S0503535","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710971","19.8.1.1","7.6","","","","1"
"2025-10","Hamilton, Ontario","2021S0503537","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711241","20.8.1.1","6.8","","","","1"
"2025-11","Hamilton, Ontario","2021S0503537","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711241","20.8.1.1","6.5","","","","1"
"2025-12","Hamilton, Ontario","2021S0503537","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711241","20.8.1.1","6.4","","","","1"
"2026-01","Hamilton, Ontario","2021S0503537","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711241","20.8.1.1","6.8","","","","1"
"2026-02","Hamilton, Ontario","2021S0503537","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711241","20.8.1.1","6.5","","","","1"
"2025-10","St. Catharines-Niagara, Ontario","2021S0503539","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711511","21.8.1.1","6.5","","","","1"
"2025-11","St. Catharines-Niagara, Ontario","2021S0503539","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711511","21.8.1.1","5.8","","","","1"
