"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2026-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709675","14.10.1.1","60.7","","","","1"
"2026-02","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709675","14.10.1.1","61.3","","","","1"
"2025-10","Kingston, Ontario","2021S0503521","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709945","15.10.1.1","57.6","","","","1"
"2025-11","Kingston, Ontario","2021S0503521","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709945","15.10.1.1","57.7","","","","1"
"2025-12","Kingston, Ontario","2021S0503521","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709945","15.10.1.1","57.8","","","","1"
"2026-01","Kingston, Ontario","2021S0503521","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709945","15.10.1.1","58.1","","","","1"
"2026-02","Kingston, Ontario","2021S0503521","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709945","15.10.1.1","58.2","","","","1"
"2025-10","Belleville - Quinte West, Ontario","2021S0503522","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710215","16.10.1.1","56.0","","","","1"
"2025-11","Belleville - Quinte West, Ontario","2021S0503522","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710215","16.10.1.1","53.9","","","","1"
"2025-12","Belleville - Quinte West, Ontario","2021S0503522","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710215","16.10.1.1","51.7","","","","1"
"2026-01","Belleville - Quinte West, Ontario","2021S0503522","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710215","16.10.1.1","51.8","","","","1"
"2026-02","Belleville - Quinte West, Ontario","2021S0503522","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710215","16.10.1.1","52.5","","","","1"
"2025-10","Peterborough, Ontario","2021S0503529","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710485","17.10.1.1","59.1","","","","1"
"2025-11","Peterborough, Ontario","2021S0503529","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710485","17.10.1.1","58.3","","","","1"
"2025-12","Peterborough, Ontario","2021S0503529","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710485","17.10.1.1","57.1","","","","1"
"2026-01","Peterborough, Ontario","2021S0503529","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710485","17.10.1.1","55.2","","","","1"
"2026-02","Peterborough, Ontario","2021S0503529","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710485","17.10.1.1","53.7","","","","1"
"2025-10","Oshawa, Ontario","2021S0503532","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710755","18.10.1.1","63.5","","","","1"
"2025-11","Oshawa, Ontario","2021S0503532","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710755","18.10.1.1","64.3","","","","1"
"2025-12","Oshawa, Ontario","2021S0503532","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710755","18.10.1.1","63.7","","","","1"
"2026-01","Oshawa, Ontario","2021S0503532","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710755","18.10.1.1","62.9","","","","1"
"2026-02","Oshawa, Ontario","2021S0503532","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642710755","18.10.1.1","62.4","","","","1"
"2025-10","Toronto, Ontario","2021S0503535","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711025","19.10.1.1","60.6","","","","1"
"2025-11","Toronto, Ontario","2021S0503535","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711025","19.10.1.1","60.9","","","","1"
"2025-12","Toronto, Ontario","2021S0503535","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711025","19.10.1.1","61.1","","","","1"
"2026-01","Toronto, Ontario","2021S0503535","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711025","19.10.1.1","61.0","","","","1"
"2026-02","Toronto, Ontario","2021S0503535","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711025","19.10.1.1","60.8","","","","1"
"2025-10","Hamilton, Ontario","2021S0503537","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711295","20.10.1.1","62.3","","","","1"
"2025-11","Hamilton, Ontario","2021S0503537","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711295","20.10.1.1","61.7","","","","1"
"2025-12","Hamilton, Ontario","2021S0503537","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711295","20.10.1.1","61.1","","","","1"
"2026-01","Hamilton, Ontario","2021S0503537","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711295","20.10.1.1","60.4","","","","1"
"2026-02","Hamilton, Ontario","2021S0503537","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711295","20.10.1.1","59.9","","","","1"
"2025-10","St. Catharines-Niagara, Ontario","2021S0503539","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711565","21.10.1.1","56.5","","","","1"
"2025-11","St. Catharines-Niagara, Ontario","2021S0503539","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711565","21.10.1.1","56.4","","","","1"
"2025-12","St. Catharines-Niagara, Ontario","2021S0503539","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711565","21.10.1.1","55.8","","","","1"
"2026-01","St. Catharines-Niagara, Ontario","2021S0503539","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711565","21.10.1.1","54.7","","","","1"
"2026-02","St. Catharines-Niagara, Ontario","2021S0503539","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711565","21.10.1.1","54.3","","","","1"
"2025-10","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711835","22.10.1.1","64.3","","","","1"
"2025-11","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711835","22.10.1.1","63.6","","","","1"
"2025-12","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711835","22.10.1.1","64.5","","","","1"
"2026-01","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711835","22.10.1.1","64.3","","","","1"
"2026-02","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711835","22.10.1.1","63.9","","","","1"
"2025-10","Brantford, Ontario","2021S0503543","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712105","23.10.1.1","63.0","","","","1"
"2025-11","Brantford, Ontario","2021S0503543","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712105","23.10.1.1","62.3","","","","1"
"2025-12","Brantford, Ontario","2021S0503543","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712105","23.10.1.1","61.3","","","","1"
"2026-01","Brantford, Ontario","2021S0503543","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712105","23.10.1.1","60.3","","","","1"
"2026-02","Brantford, Ontario","2021S0503543","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712105","23.10.1.1","60.3","","","","1"
"2025-10","Guelph, Ontario","2021S0503550","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712375","24.10.1.1","59.5","","","","1"
"2025-11","Guelph, Ontario","2021S0503550","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712375","24.10.1.1","59.2","","","","1"
"2025-12","Guelph, Ontario","2021S0503550","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712375","24.10.1.1","61.0","","","","1"
"2026-01","Guelph, Ontario","2021S0503550","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712375","24.10.1.1","61.4","","","","1"
"2026-02","Guelph, Ontario","2021S0503550","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712375","24.10.1.1","63.6","","","","1"
"2025-10","London, Ontario","2021S0503555","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712645","25.10.1.1","62.1","","","","1"
